ACG_EFF_KEY|CNTRY_KEY|UNQ_ID_SRC_STM|ACG_EFF_CD|ACG_EFF_NM|ACG_EFF_GRP_CD|ACG_EFF_GRP_NM
1|-2|"CR"|"CR"|"Credit "|"ACG_EFF"|"Accounting Effect"
2|-2|"DB"|"DB"|"Debit"|"ACG_EFF"|"Accounting Effect"
